Rank,Name,Country,Region,Affiliation,Age,Height,Weight
159,Jordan Lundin,United States,North America East,Rhapsody CrossFit,29,70 in,190 lb
160,Norman Woodring,United States,North America East,Not the Norm CrossFit,33,73 in,220 lb
161,Zane Shellabear-Healey,Australia,Oceania,,23,177 cm,92 kg
162,Peter Ellis,Australia,Oceania,CrossFit Peak Blaxland,21,170 cm,80 kg
163,Jacob Heart,United States,North America East,Ocean State CrossFit,24,,
164,William Leahy IV,United States,North America West,CrossFit Mandeville,22,71 in,195 lb
165,Sander van Roekel,Netherlands,Europe,CrossFit Nijmegen,26,179 cm,84 kg
166,Jaime Rozalen Gonzalez,Spain,Europe,Yo Soy CrossFit,23,175 cm,88 kg
167,Inaxio Illarramendi,Spain,Europe,CrossFit Arrasate,25,171 cm,81 kg
167,Andrea Ferrero,Italy,Europe,CrossFit Verbania,34,180 cm,90 kg
169,Jan Arnd Finkenberg,Germany,Europe,CrossFit 48 Münster,25,181 cm,94 kg
170,Radoslaw Wreczycki,Poland,Europe,,26,171 cm,90 kg
170,Selvan Ramjattan,United States,North America East,Centered CrossFit,31,66 in,190 lb
172,Tiago Luzes,Portugal,Europe,CrossFit Odivelas,26,183 cm,91 kg
173,Dane Smith,United States,North America East,CrossFit Krypton,27,,
174,Collin Garnek,United States,North America East,CrossFit Saol,25,72 in,205 lb
175,Kevin Jurs,Estonia,Europe,Tallinn CrossFit,29,180 cm,100 kg
176,Jacob Marlow,United States,North America West,CrossFit Greater Heights,22,69 in,197 lb
177,Darren Zurnamer,South Africa,Africa,Cape CrossFit 7130,22,172 cm,82 kg
178,Marc Carmona,Spain,Europe,CrossFit Iluro,27,,
179,Reilly Smith,Australia,Oceania,CrossFit Newstead,26,185 cm,90 kg
179,Mathias Porter,United States,North America East,CrossFit Krypton,27,71 in,205 lb
181,Kalyan Souza,Brazil,South America,CrossFit Al Ain,22,184 cm,92 kg
182,Andrei Fedotov,Asia,Soyuz CrossFit,,29,164 cm,81 kg
183,Johan Roberts,New Zealand,Oceania,CrossFit D-Day,18,172 cm,83 kg
183,Edoardo Talon,Italy,Europe,CrossFit Sagittarius,29,,
185,Jamie Headon,Ireland,Europe,CrossFit C2F,30,174 cm,88 kg
186,Maximilian Krieg,United States,North America West,CrossFit Franco's,28,70 in,200 lb
186,Johnie Charles,United States,North America East,CrossFit Dreamland,27,67 in,183 lb
188,Harrison Bell,United Kingdom,Europe,CrossFit Surbiton,31,180 cm,95 kg
189,Jack Clark,Australia,Oceania,CrossFit Underway,24,178 cm,89 kg
190,Victor Manuel Garcia De Val,Spain,Europe,Sweet Death CrossFit,20,,
191,Ben Sexton,United States,North America East,CrossFit 423,26,69 in,195 lb
192,Rúben Leite,Portugal,Europe,16.9 CrossFit,20,,
193,Arthur Semenov,Asia,EA CrossFit,,30,189 cm,99 kg
194,Brandon Foor,United States,North America East,,30,68 in,190 lb
195,Kang Kyungsun,"Korea, Republic of",Asia,CrossFit Limelight,31,178 cm,198 lb
196,Hendrik Senf,Germany,Europe,CrossFit Aorta,27,176 cm,85 kg
197,Spencer Arey,United States,North America East,CrossFit 926,24,69 in,170 lb
198,Juan Manuel Seitun,Uruguay,South America,,29,179 cm,90 kg
199,Jason Ray,United States,North America East,CrossFit Valdosta,28,69 in,185 lb
200,Marcus Moreira,Brazil,South America,CrossFit Hallandale Beach Gator,28,180 cm,90 kg
201,Leonel Franco,United States,North America West,Straight Flush CrossFit,25,70 in,197 lb
202,Kyle Baughman,United States,North America East,Golden Goose CrossFit,30,74 in,220 lb
