Rank,Name,Country,Region,Affiliation,Age,Height,Weight
355,Marius Tinglum Pettersen,Norway,Europe,CrossFit Oslo,29,185 cm,91 kg
356,Eliott Genin,France,Europe,CrossFit Genas,24,177 cm,80 kg
357,Alejandro Fernandez,Spain,Europe,Tagoror CrossFit,32,174 cm,80 kg
358,James Newbury,Australia,Oceania,CrossFit Torian,32,177 cm,87 kg
359,Dimitris Fotiou,Greece,Europe,Mad Hall CrossFit,32,168 cm,80 kg
360,Dmytro Mikhu,Ukraine,Europe,Moa CrossFit,29,169 cm,82 kg
361,Valerio Tufo,Italy,Europe,CrossFit Avellino,30,72 in,199 lb
362,Dami Martínez,Spain,Europe,CrossFit 4 Friends,30,169 cm,86 kg
363,Javi Bustos Murillo,Spain,Europe,Area CrossFit,37,171 cm,82 kg
364,Adam Dycus,United States,North America West,Rock City CrossFit,27,70 in,195 lb
365,Guilherme Domingues,Brazil,South America,CrossFit Sinos,33,185 cm,210 lb
366,Brandon True,United States,North America East,CrossFit 717,31,,
367,Ruan Potgieter,South Africa,Africa,,26,182 cm,82 kg
368,John Schaeffer,Germany,Europe,CrossFit Treibstoff,25,184 cm,99 kg
369,Quentin Gerald,France,Europe,CrossFit Marignane,25,180 cm,90 kg
370,Zac Thomas,Australia,Oceania,CrossFit Wollongong,21,182 cm,92 kg
371,Jason Zobott,United States,North America West,CrossFit Omnia,25,74 in,210 lb
372,Tony Lauters,United States,North America West,,32,68 in,180 lb
373,Xevi Serra,Spain,Europe,CrossFit Girona,29,,
374,Raúl Berlanga Núñez,Spain,Europe,CrossFit Lambda,26,184 cm,83 kg
375,Kleber Filho,Brazil,South America,Punk CrossFit,26,,
376,Andrew McCoy,United Kingdom,Europe,CrossFit Blaydon,30,176 cm,86 kg
377,Mitch McClune,United States,North America West,CrossFit Invictus,33,68 in,185 lb
378,Axel Lundgren,Sweden,Europe,C23 CrossFit,25,180 cm,84 kg
379,Conor McEleny,Australia,Oceania,,23,180 cm,85 kg
380,Wyatt Taylor,Canada,North America East,Hydra CrossFit,25,72 in,210 lb
381,Juan Tobon,Colombia,South America,,23,,
382,Matt Brady,Canada,North America West,,28,73 in,210 lb
383,Stephen Mischewski,New Zealand,Oceania,Plus64 CrossFit,22,,
384,Moses Petelo,New Zealand,Oceania,CrossFit EXF,33,173 cm,88 kg
385,Rikka Kim,"Korea, Republic of",Asia,CrossFit Rikka,29,175 cm,81 kg
386,Hyunsu Kim,"Korea, Republic of",Asia,CrossFit Limelight,32,174 cm,83 kg
387,Juan Rodriguez,United States,North America East,Driving Force CrossFit,20,172 cm,175 lb
388,Luis Felipe Portes,Brazil,South America,,29,,
388,Josh Hardin,United States,North America East,CrossFit CLT,28,71 in,200 lb
390,Tristan Meredith,United States,North America East,CrossFit Pulse,21,70 in,183 lb
391,Kevin Schuetz,United States,North America West,Koda CrossFit,36,73 in,205 lb
392,Jeffrey Rubino,United States,North America West,BackCountry CrossFit,27,,
393,Connor Smith,Australia,Oceania,CrossFit ChasingBetter,23,176 cm,86 kg
394,Dylan Hamming,United States,North America East,8th Day CrossFit,30,74 in,215 lb
394,Christoffer Nilsen,Norway,Europe,CrossFit Lensmannslia,23,176 cm,78 kg
396,Vitor Nunes,Brazil,South America,,30,177 cm,83 kg
397,Jadyn Whakatope-Stewart,Australia,Oceania,CrossFit Urban Energy,25,175 cm,82 kg
398,Connor Voltz,United States,North America East,CrossFit Saol,20,,
399,Nicola Bonura,Italy,Europe,CrossFit Team 059,29,180 cm,187 lb
400,Eric Evans,United States,North America West,Bear Republic CrossFit,32,70 in,185 lb
401,Thomas Cecchi,France,Europe,2 Rives CrossFit,30,178 cm,89 kg
402,Sean Early,United States,North America West,CrossFit Invictus,24,,
403,Jordy Gremillion,United States,North America West,MidCity Athletics CrossFit,32,67 in,170 lb
404,Steven O'Brien,United States,North America West,CrossFit Progression,26,74 in,220 lb
405,Jason Sinclair,New Zealand,Oceania,CrossFit Cayman,32,170 cm,88 kg
406,Ben Janssen,New Zealand,Oceania,Mount CrossFit,29,179 cm,82 kg
407,Seth Sharritt,United States,North America East,CrossFit Hard Knox,25,,
408,Anderon Primo,Brazil,South America,CrossFit Bauru Hangar,28,180 cm,200 lb
409,Christoph Koerner,Austria,Europe,,35,181 cm,90 kg
410,Danylo Bloshchuk,Ukraine,Europe,,25,174 cm,77 kg
411,Stewart Jones,United States,North America West,CrossFit Raw Steel,23,71 in,205 lb
412,Ben Hathaway,United Kingdom,Europe,Second City CrossFit,23,174 cm,83 kg
413,Gabin Loubere,France,Europe,CrossFit L 700,29,181 cm,86 kg
414,Niccolò Colli,Italy,Europe,CrossFit 47100,22,172 cm,70 kg
415,Sean Finlay,United States,North America East,CrossFit Conshohocken,24,,
415,Jorge Andre Carvalho Correia,Spain,Europe,,32,,
417,Tristan Faure,United States,North America East,CrossFit Doors of Daring,31,70 in,195 lb
418,Thor Hajnal,New Zealand,Oceania,CrossFit Artax,29,173 cm,81 kg
419,Jacob Dunlap,United States,North America East,Great Wolf CrossFit,22,,
420,Isaac Campbell,United States,North America West,Verdant CrossFit,28,69 in,185 lb
421,Evan Morris,Australia,Oceania,CrossFit 505,30,182 cm,98 kg
422,Denis Smith,United Kingdom,Europe,CrossFit 1111,32,,
423,Fredrik Lindström,Sweden,Europe,CrossFit Nordic,25,,
424,Nicholas Holt,United States,North America East,Spring Lake CrossFit,26,71 in,190 lb
425,Brandon Jowers,United States,North America East,CrossFit 215,30,71 in,184 lb
426,André-Félix Martin,Canada,North America East,CrossFit The Flying V,28,,
427,David Bradley,United States,North America East,TTT CrossFit,19,70 in,185 lb
428,Joseph Freije,United States,North America East,CrossFit Breakthrough,30,,
429,Christian Ramon,United States,North America West,CrossFit Kinesis,32,,
430,Ej Hein,United States,North America West,Koda CrossFit Norman,20,67 in,175 lb
431,Moritz Neumann,United Kingdom,Europe,CrossFit Rotherham,28,188 cm,101 kg
432,Miguel Berges Albacete,Spain,Europe,CrossFit Minimes,30,181 cm,86 kg
433,Charles Glorieux,Belgium,Europe,CrossFit Link,29,,
434,Kieren Power,Australia,Oceania,Iron Body CrossFit,30,184 cm,94 kg
435,James East,United States,North America East,CrossFit Enapay,33,72 in,225 lb
436,Anton Andreev,Asia,Soyuz CrossFit,,30,,
437,Casey McCallister,United States,North America West,Koda CrossFit,34,69 in,172 lb
438,Julio cesar Arevalo alvarez,Venezuela,South America,,27,,
439,Francesc Xavier Díaz Jiménez,Spain,Europe,CrossFit Lambda,25,,
440,Fabio Dechichi,Brazil,South America,,33,176 cm,180 lb
441,Joe Cates,United States,North America West,Kaw Valley CrossFit,26,66 in,170 lb
442,Nathan Corden,Australia,Oceania,CrossFit Urban Energy,26,,
443,Bernardo Jardim,Brazil,South America,,19,,
444,Michael Quinn,United States,North America East,CrossFit Soul Miami,25,,
445,Anton Yakovlev,Asia,Red Tower CrossFit,,30,,
446,Troy Kopp,United States,North America East,Catoctin CrossFit,30,68 in,195 lb
447,Bjärne ten Wolde,Netherlands,Europe,CrossFit Gymert,28,182 cm,87 kg
448,Tanner Stahl,United States,North America West,CrossFit 801,26,69 in,180 lb
449,Michael OConnor,United States,North America East,CrossFit Clayton,20,71 in,180 lb
450,Adam Mansy,Australia,Oceania,CrossFit Bil Athletic,36,181 cm,96 kg
451,Craig Kenney,United States,North America East,Branford CrossFit,36,72 in,190 lb
452,Murtaza Nadeem,United Kingdom,Europe,CrossFit Rotherham,23,175 cm,84 kg
453,Nick Petersen,United States,North America West,Kamo Athletics CrossFit,29,66 in,175 lb
454,Daniel Faumuina,Samoa,Oceania,CrossFit Newstead,31,185 cm,100 kg
455,Dominik Schröpfler,Austria,Europe,CrossFit Viertel Zwei,26,167 cm,74 kg
456,Austin Evans,Canada,North America West,Coast Mountain CrossFit,28,67 in,175 lb
457,Bobby Wallum,United States,North America East,CrossFit Waldwick,33,,
458,Justin Johnson,United States,North America West,Flagship CrossFit,23,,
459,Carlos Ferrara Coloma,Spain,Europe,CrossFit Ibi,26,,
460,Guilherme Marques,Portugal,Europe,16.9 CrossFit,23,,
461,Randy Santana,United States,North America East,IMT CrossFit,26,,
462,Noel Nagel,Germany,Europe,CrossFit WYSH,26,175 cm,95 kg
463,Adnan Murguz,Denmark,Europe,CrossFit Hobro,32,187 cm,94 kg
464,Nicolas Sanchez,France,Europe,Genum CrossFit,26,176 cm,84 kg
465,Javier Heredia Noguerol,Spain,Europe,CrossFit Chiva,33,,
466,Ram Dover,Israel,Asia,CrossFit Namal,36,178 cm,86 kg
467,Ethan Van Der Velden,Australia,Oceania,CrossFit Uplift,21,170 cm,72 kg
468,David Casault,Canada,North America East,CrossFit ADM,30,68 in,190 lb
469,Gilson Duarte,Brazil,South America,Punk CrossFit,32,165 cm,162 lb
470,Alex Zomerfeld,United States,North America East,Port CrossFit,30,,
471,Alec Leitch,Australia,Oceania,Nepean CrossFit,28,176 cm,84 kg
472,Yan Fortin,Canada,North America East,Deka CrossFit,32,74 in,218 lb
473,Ivan Gaitan,Argentina,South America,,33,165 cm,73 kg
474,Christopher Ensign,United States,North America East,TTT CrossFit,26,70 in,195 lb
475,Justin Thomsen,United States,North America West,CrossFit i1uvit,32,68 in,204 lb
476,Mason Doherty,Australia,Oceania,CrossFit MSD,32,179 cm,88 kg
476,Casey O'Leary,United States,North America East,Titan 112 CrossFit,29,67 in,185 lb
478,Bernardo Torquato Costa,Brazil,South America,K9 CrossFit,19,,
479,Ant Haynes,China,Asia,CrossFit CSTL,33,179 cm,89 kg
480,Danny Voronov,Israel,Asia,CrossFit Green Beach,27,,
481,Leon Wagenknecht,Germany,Europe,CrossFit Castellum,26,186 cm,99 kg
482,Dante Karangaroa,New Zealand,Oceania,,23,,
483,Simon Mantyla,Sweden,Europe,CrossFit Mejeriet,32,181 cm,95 kg
484,Antoine Boyer,Canada,North America East,CrossFit Pro1,27,170 cm,77 kg
485,Harry Debenham,Australia,Oceania,Mesomorph CrossFit,27,180 cm,84 kg
486,Arthur Satis,France,Europe,CrossFit Caen,30,184 cm,88 kg
487,Kaden Gibbons,New Zealand,Oceania,CrossFit Selwyn,22,,
488,Ty Jenkins,United States,North America West,Table Rock CrossFit,17,69 in,185 lb
489,Marcus Kwak,"Korea, Republic of",Asia,CrossFit BigFoot Bucheon,31,176 cm,180 lb
490,Ricardo Marquez,Brazil,South America,CrossFit Arzo One,22,175 cm,88 kg
491,Aleksandr Plyushkin,Asia,CrossFit Fly High,,32,174 cm,88 kg
492,Rankin Holt,United States,North America West,Renewed Strength CrossFit,24,66 in,180 lb
493,Stephen Clegg,United States,North America East,CrossFit Cirque,29,70 in,210 lb
494,Daviel Ostolaza,Puerto Rico,North America East,East Point CrossFit,23,70 in,185 lb
495,Hans Koellnberger,United States,North America West,One Life CrossFit,26,73 in,205 lb
496,Esteban Carvallo,Chile,South America,,33,161 cm,78 kg
497,Wooyoung Lim,"Korea, Republic of",Asia,CrossFit Limelight,35,176 cm,185 lb
498,Jack Monaghan,Australia,Oceania,,23,191 cm,105 kg
499,Jhoan Falcon,Canada,North America East,CrossFit Salvation,31,,
500,Maxime Roy De Sylva,Canada,North America East,CrossFit ADM,30,67 in,170 lb
501,Arturocesar Mora,Nicaragua,North America East,CrossFit Las Colinas,25,172 cm,185 lb
502,Pedro Vieira,Brazil,South America,CrossFit CFP9 CasaShopping,31,,
503,Juan Cruz,Mexico,North America West,Balerion CrossFit,28,,
504,Jason Smith,South Africa,Africa,CrossFit Sunninghill,39,185 cm,195 lb
505,Nicholas Azorr,United States,North America East,CrossFit Mayhem,26,,
506,Lucas Geron,Brazil,South America,CrossFit Le Huit,24,,
507,Ethan Tate,United States,North America West,Nebo CrossFit,21,70 in,185 lb
507,Colin Boesch,United States,North America East,CrossFit Arioch,28,69 in,190 lb
509,Pablo Arraut,Colombia,South America,,22,176 cm,188 lb
510,Blake Sama,United States,North America East,CrossFit Free,34,,
511,Ben Manganaro,United States,North America East,CrossFit Hype,34,69 in,193 lb
512,Michael French,United States,North America West,Big Mountain CrossFit,35,70 in,195 lb
513,Nick Thomas,United States,North America West,CrossFit Marysville,32,68 in,193 lb
514,Brian Yeung,United States,North America East,CrossFit CLT,32,72 in,195 lb
515,Stéphane Augustin,France,Europe,CrossFit Narbonne,28,178 cm,80 kg
516,Basa Vlad Alin,Romania,Europe,,26,185 cm,95 kg
517,Gauthier Lacroux,France,Europe,CrossFit Carcassonne,27,175 cm,85 kg
518,Andrei Petku,Asia,CrossFit 19.05,,18,176 cm,81 kg
519,Bernardo Malesci,Italy,Europe,CrossFit Iris,27,,
520,Raymond Romanick,United States,North America East,CrossFit Bethesda,29,71 in,195 lb
521,Isaak Petridis,Greece,Europe,,27,182 cm,90 kg
522,Lucas Nessier,Argentina,South America,,31,176 cm,84 kg
523,Jackson Drohan,United States,North America East,CrossFit Crash,23,69 in,188 lb
524,Brandon Smith,United States,North America East,CrossFit Hard Knox,26,74 in,215 lb
525,Daniel Villar,Uruguay,South America,,35,170 cm,80 kg
526,Matheo Kaech,Switzerland,Europe,,30,180 cm,92 kg
527,Josh Felix,United States,North America East,,25,68 in,185 lb
528,Filemon Souza,Brazil,South America,Vittoria CrossFit,31,,
529,Andrew Cox,Ireland,Europe,CrossFit Glasgow,23,,
530,Brandon Norton,Australia,Oceania,CrossFit Kirrawee,23,183 cm,93 kg
531,Toby Crouch,Australia,Oceania,Reebok CrossFit Frankston,22,182 cm,86 kg
532,Ian Cox,United States,North America West,CrossFit St. Louis,31,67 in,195 lb
533,Luis Cacacho,Guatemala,North America East,Brau Athletics CrossFit,22,176 cm,170 lb
534,Matteo Pinazzi,Italy,Europe,CrossFit Arctos,30,175 cm,185 lb
535,Gabriele Ruggirello,Italy,Europe,,24,179 cm,85 kg
536,Eric Zuchold,Germany,Europe,CrossFit Athletenschmiede Russee,23,187 cm,97 kg
537,Carlos Casado,Spain,Europe,Yo Soy CrossFit,20,169 cm,72 kg
538,Justin Holland,United States,North America East,CrossFit Nashville,31,74 in,220 lb
539,Tyler Marsh,Canada,North America East,CrossFit NCR,25,183 cm,205 lb
540,Dylan Mcgregor,Australia,Oceania,Fitness Alley CrossFit,29,181 cm,93 kg
541,Bryan Hernández,Mexico,North America West,,21,164 cm,83 kg
542,Ruben Torbay Yanez,Ecuador,South America,,31,165 cm,155 lb
542,Joseph Hurley,United Kingdom,Europe,CrossFit 13,24,74 in,102 kg
544,Dani Ruiz,Spain,Europe,,28,176 cm,82 kg
545,Trevor Haggard,United States,North America East,CrossFit Trivium,30,70 in,190 lb
546,Joao hide Kami Mura,Brazil,South America,,25,,
547,Thalison Martins,Brazil,South America,,25,,
548,Fabian Hermans,Netherlands,Europe,CrossFit Arnhem,26,,
549,Kyle Schwark,United States,North America East,,27,,
550,Martin Krajtmar,Hungary,Europe,,22,178 cm,83 kg
551,Tyler Brandenburg,United States,North America East,Freedom Pointe CrossFit,23,70 in,190 lb
552,Kurtis Jackson,Australia,Oceania,CrossFit Wollongong,30,167 cm,78 kg
553,Amato Mazzocca,Venezuela,South America,,19,164 cm,85 kg
554,Mark Banner,United Kingdom,Europe,CrossFit 3D,25,,
555,Nathan Erbe,United States,North America East,CrossFit Grandview,27,,
556,Jeffery Virden,United States,North America East,All Heart CrossFit,26,72 in,215 lb
557,Luke Fiso,New Zealand,Oceania,Thorndon CrossFit,33,176 cm,90 kg
558,Frank Mastroianni,United States,North America East,Aurelius CrossFit,29,65 in,175 lb
559,Aleksander Bloszyk,Poland,Europe,CrossFit Poznan,22,181 cm,78 kg
560,Pau Llorens,Spain,Europe,CrossFit 08019,26,172 cm,75 kg
561,Luca Buisson,France,Europe,L'arène CrossFit Nakama,21,,
562,Michael Jordan,United Kingdom,Europe,CrossFit Talisman,29,182 cm,94 kg
563,Игорь Zuev,Asia,Age 27,178 cm | 83 kg,27,178 cm,83 kg
564,Paul Sakowski,United States,North America East,CrossFit DT1,31,70 in,205 lb
565,Martin Kruzlic,Slovakia,Europe,Alpha Prime CrossFit,27,186 cm,100 kg
566,Ross Low,South Africa,Africa,CrossFit Aberdeen,23,185 cm,80 kg
567,Morgan Gibbons,New Zealand,Oceania,CrossFit Selwyn,22,171 cm,76 kg
568,samuel zaleme,Argentina,South America,,23,,
569,Bradley Jones,United States,North America West,CrossFit Devotion,35,72 in,210 lb
570,Jorge Ortega,Spain,Europe,CrossFit Big Rhino,25,180 cm,87 kg
571,Jose Faradji,Mexico,North America West,Rakun CrossFit,28,172 cm,76 kg
572,Luiz Outor,Brazil,South America,Templo SA CrossFit,30,180 cm,215 lb
573,Arthur Froger,France,Europe,CrossFit Mahavéli,30,184 cm,91 kg
574,Gilmar Gavica,Ecuador,South America,,31,,
575,Trent Volentine,United States,North America West,,26,70 in,190 lb
576,Álvaro Teixeira,Brazil,South America,CrossFit Play,29,169 cm,84 kg
577,Yu-sen Zhu,Taiwan,Asia,,26,,
578,Joshua Pollema,United States,North America West,CrossFit Fortem,31,69 in,185 lb
579,Alvaro Gomez,Spain,Europe,CrossFit Bikain,26,182 cm,84 kg
580,David Ruckman,United States,North America West,CrossFit Flagstaff,28,74 in,195 lb
581,Neil French,United States,North America East,TTT CrossFit,31,71 in,215 lb
582,Jordi Serrat,Spain,Europe,Segle XX CrossFit,30,,
583,Spencer Woltz,Canada,North America East,TTT CrossFit,33,,
584,Adrián Román Rubio,Spain,Europe,CrossFit Elche Triboo,27,174 in,78 kg
585,Keanu Redongo,United States,North America West,,27,67 in,175 lb
586,Pedro Crespo Delgado,Spain,Europe,Artabros CrossFit,23,186 cm,86 kg
587,Zak Anderson,United States,North America West,Omega CrossFit,33,67 in,173 lb
587,Dino Smajic,Bosnia and Herzegovina,Europe,CrossFit Sarajevo,26,184 cm,89 kg
589,Robert Forte,Australia,Oceania,Reebok CrossFit Frankston,36,174 cm,89 kg
590,Tomeu Sanso Perello,Spain,Europe,CrossFit Fabriken,30,177 cm,80 kg
591,Tucker McLemore,United States,North America West,Rayzor Ranch CrossFit,30,70 in,188 lb
592,Nick Mentzel,Germany,Europe,Big Bear CrossFit,24,,
593,Shawn Clark,Canada,North America East,CrossFit PSC,31,68 in,190 lb
594,Marvin Salazar,Costa Rica,North America East,,25,177 cm,83 kg
595,Devin Brown,United States,North America West,,33,71 in,225 lb
596,Simon Bodelet,Belgium,Europe,CrossFit Merchtem,23,184 cm,94 kg
597,Carlos Del Arco,Spain,Europe,CrossFit Wezone Plaza Castilla,28,,
598,Matias Friz,United States,North America West,HomeGrown CrossFit,31,69 in,175 lb
599,Cooper Besougloff,United States,North America West,CrossFit Omaha,27,,
600,Antoine Eternot,France,Europe,La Fabrique CrossFit,24,173 cm,80 kg
601,Ryan Street,United States,North America East,CrossFit Reconstructed,29,68 in,185 lb
602,Tommy Galea,Australia,Oceania,CrossFit Arete,28,,
603,Keegan Alvis,United States,North America East,Tarheel CrossFit,25,,
604,Tanner Sturm,United States,North America West,CrossFit Invictus Everest Park,31,68 in,180 lb
605,Oliver Valentin Toft,Denmark,Europe,CrossFit North 579,22,,
606,Irving Hernandez,Mexico,North America West,CrossFit Jaglion,35,63 in,170 lb
607,Curtis Dixon,United Kingdom,Europe,Danum CrossFit,33,,
607,Jozsef Vida-Szucs,Hungary,Europe,CrossFit BBros,23,170 cm,84 kg
609,Anthony Comeau,Canada,North America East,,25,70 in,195 lb
610,Anthony Gnoato,Canada,North America West,CrossFit 604,25,65 in,165 lb
611,Cody Cramer,United States,North America East,Crossfit Mountain Valley,28,70 in,192 lb
612,Conor Pinnington,United Kingdom,Europe,CrossFit IOM,24,171 cm,75 kg
613,Park Jihong,"Korea, Republic of",Asia,CrossFit We Can Do It,31,,
614,Ryan Jevning,United States,North America West,Undefeated CrossFit,27,72 in,204 lb
615,Tyler Cooke,United States,North America East,CrossFit 1124,34,66 in,185 lb
616,Damian Conciatori,Canada,North America East,,28,69 in,165 lb
617,Hector Moreno,Puerto Rico,North America East,,26,68 in,185 lb
618,Ojay Keen,United Kingdom,Europe,CrossFit Putney,33,187 cm,100 kg
619,Nicolás Bedon,Ecuador,South America,CrossFit ECF,22,,
620,Conrad Winnertz,South Africa,Africa,CrossFit Ground Zero,22,170 cm,85 kg
621,Matt Mcleod,Australia,Oceania,CrossFit Raven,30,165 cm,80 kg
622,Edgar Carvalho,Brazil,South America,CrossFit Pinda,25,177 cm,95 kg
623,Vicente Azua Jr.,United States,North America East,IMT CrossFit,31,69 in,190 lb
624,Viktor Munck-Larsson,Sweden,Europe,CrossFit Fabriken Västerbro,26,182 cm,89 kg
625,Harry Thomas,United Kingdom,Europe,,27,174 cm,90 kg
626,Nolan Pedrick,United States,North America East,,20,67 in,165 lb
626,Evan Smith,United States,North America East,Brandywine CrossFit,31,65 cm,182 lb
628,Kenneth Provost,United States,North America East,CrossFit Petoskey,32,73 in,202 lb
628,Severin Irimia,Romania,Europe,,35,182 cm,88 kg
630,Andrew Schaefer,United States,North America East,CrossFit AP,26,69 in,193 lb
631,Tommaso Peveri,Italy,Europe,CrossFit Certosa,32,,
632,Justin Swart,South Africa,Africa,CrossFit Juggernaut,32,175 cm,85 kg
