,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15839,Taylor Martin,CrossFit Dynamo,,"2023 quarterfinals
1344th
worldwide",1344th,worldwide,Men,Men (40-44),295 lb,,,,,,6:42,,,,,,,
15859,Carter Sawchuk,CrossFit Rocked,,,,North America,Men,,400 lb,,265 lb,400 lb,,,2:53,3:24,8:25,,,,200 lb,1:02
15894,Andrew Gundlach,,,,,North America,Men,,295 lb,,190 lb,365 lb,,,,,,,15,23:47,125 lb,
15907,Kevin Rodolfo,CrossFit Cannes,,"2023 open
3164th
worldwide",3164th,worldwide,Men,Men,175 kg,,130 kg,180 kg,,,2:59,,,,,,98 kg,
15916,Orestis Papapetrou,,,"2023 open
1408th
worldwide",1408th,worldwide,Men,Men (35-39),182 kg,,130 kg,215 kg,,18:30,2:26,,,,,18:36,95 kg,0:59
15928,Aleisha Raschig,CrossFit Vanquish,,"2023 open
7328th
worldwide",7328th,worldwide,Women,Women (35-39),205 lb,,155 lb,337 lb,316,32:58,,,10:43,,36,25:38,125 lb,
15956,Daniel Gelman,CrossFit Kiryat Ono,,,,Asia,Men,,165 kg,,120 kg,225 kg,,,3:35,,,,,17:00,85 kg,
15965,Rikard Wedh,CrossFit Walleye,,,,Sweden,Men,,150 kg,,80 kg,200 kg,,,,,,,7,,55 kg,
15986,Whitney Siltman,CrossFit Upper Edge,,,,North Central,Women,,280 lb,,155 lb,320 lb,,,7:17,3:03,,,5,,105 lb,
16018,Ely Madrid,La Grotta CrossFit,,,,El Salvador,Women,,185 lb,,135 lb,255 lb,,,,,,,,,100 lb,
16024,Sandi Hunt,Southern Pines CrossFit,,"2023 open
1712th
worldwide",1712th,worldwide,Women,Women (50-54),175 lb,,135 lb,265 lb,,,,,14:25,,,30:19,100 lb,1:56
16029,Rachel Frazer,CrossFit Fort Lauderdale,,"2023 quarterfinals
314th
North America East",314th,North America East,Women,Women,287 lb,,205 lb,360 lb,,,2:51,2:29,9:22,,50,25:07,143 lb,1:06
16070,Ross Gentry,CrossFit Trivium,,"2023 open
27645th
worldwide",27645th,worldwide,Men,Men,,,,,,,,,8:58,,,,,
16112,Matt Burton,,,,,North Central,Men,,425 lb,,245 lb,455 lb,,,,,,,30,,155 lb,
16127,Gerrell Johnson,CrossFit HGSC,,"2023 open
67003rd
worldwide",67003rd,worldwide,Men,Men,355 lb,,205 lb,,,,,,,,,,155 lb,
16131,Brian Fitzpatrick,Feast CrossFit,,,,North America East,Men,,300 lb,,210 lb,345 lb,,,,,,,,,155 lb,
16132,Anna Nelson,Coyote CrossFit,,"2023 open
1130th
worldwide",1130th,worldwide,Women,Women (45-49),170 lb,,135 lb,206 lb,,,4:28,3:14,10:59,,,,101 lb,
16136,Andy Lawrence,CrossFit Wirral,,"2023 open
666th
worldwide",666th,worldwide,Men,Men (45-49),133 kg,,110 kg,170 kg,237,23:33,4:42,3:37,9:57,,,28:35,75 kg,
16138,Darren Ellis,,,,,Europe,Men,,,,100 kg,210 kg,,,,,,,,,60 kg,
16162,Gabriel Arreola,,,,,North America West,Men,,305 lb,,255 lb,405 lb,,,,2:11,,,,,185 lb,1:05
16163,Mark Beare,,,,,North America,Men,,275 lb,,215 lb,315 lb,,,4:20,,,,,,145 lb,
16176,Nick Meissner,,,"2023 quarterfinals
1211th
worldwide",1211th,worldwide,Men,Men (40-44),435 lb,,265 lb,465 lb,,,2:42,,,,,,215 lb,
16184,Loren Crowder,CrossFit Anistemi,,"2023 open
1463rd
worldwide",1463rd,worldwide,Men,Men,385 lb,,315 lb,455 lb,,,2:58,,,,,,260 lb,
16192,Tiffany Agostinelli,CrossFit PR Star,,"2023 quarterfinals
831st
North America East",831st,North America East,Women,Women,230 lb,,185 lb,285 lb,,,5:04,,13:12,,13,29:45,140 lb,
16222,Niall Peters,CrossFit All Out,,"2023 open
24011th
worldwide",24011th,worldwide,Men,Men,138 kg,,110 kg,185 kg,,,5:38,,10:18,,,21:38,90 kg,
16244,Shereen Ayman,CrossFit Aptior 1,,,,Africa,Women,,85 kg,,50 kg,110 kg,,,,,,,11,20:00,35 kg,
16256,Suzette Spinden,Wildfire CrossFit,,"2023 open
773rd
worldwide",773rd,worldwide,Women,Women (50-54),185 lb,,150 lb,280 lb,299,31:16,3:52,3:23,9:55,,30,31:26,110 lb,1:32
16278,Lauren Capece,CrossFit Spur,,,,United States,Women,,185 lb,,135 lb,255 lb,,,,,,,,26:59,100 lb,
16331,Katherine Butler,M4G CrossFit,,"2023 open
11002nd
worldwide",11002nd,worldwide,Women,Women (35-39),205 lb,,160 lb,270 lb,,,,,,,,36:00,125 lb,
16353,Nathan Luber,O-Sea CrossFit,,,,North America West,Men,,300 lb,,225 lb,385 lb,,,,,,,,18:20,185 lb,
16366,Antonio Dumont,,,,,Latin America,Men,,150 kg,,100 kg,180 kg,,,,,,,,,60 kg,
16368,Marcos Mazon,CrossFit Green Bay,,,,North America,Men,,420 lb,,,500 lb,,,,,,,,,235 lb,
16381,Allegra El-Sayed,,,,,South East,Women,,220 lb,,115 lb,290 lb,,,,,,,,28:11,80 lb,
16409,Alessandra McGuffie,CrossFit Kona,,,,North America,Women,,245 lb,,185 lb,285 lb,178,,,,,,,,135 lb,
16437,Tessa Marquette,CrossFit Havoc,,,,North America,Women,,305 lb,,210 lb,295 lb,,,2:40,,,,,,185 lb,
16489,Bruno de Carvalho,The Bakery CrossFit,,,,Europe South,Men,,155 kg,,120 kg,180 kg,,,4:16,,,,,23:25,87 kg,
16499,Chelsea Fields,,,,,North America,Women,,145 lb,,110 lb,185 lb,,,,,,,,18:30,80 lb,
16516,Kathrine Cross,CrossFit Forney,,,,North America,Women,,300 lb,,225 lb,405 lb,,,3:58,2:12,,,30,,175 lb,
16529,Emily Heighes,CrossFit Takedown,,"2023 open
23215th
worldwide",23215th,worldwide,Women,Women,250 lb,,170 lb,225 lb,,,,,,,,,125 lb,
16546,Fields Davis,,,,,Central East,Men,,435 lb,,245 lb,525 lb,,,,3:00,,,,,205 lb,
16547,Jesus Manuel Ramirez Pacheco,,,"2023 quarterfinals
994th
North America West",994th,North America West,Men,Men,400 lb,,310 lb,455 lb,,,,,,,66,,250 lb,
