,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
16579,Yannick Gabriele Lucidi,,,,,,,,180 kg,,105 kg,185 kg,,,,4:07,15:11,,,,72 kg,
16596,Morgan Reynolds,CrossFit BA,,,,North America,Women,,390 lb,,250 lb,420 lb,,,,,,,,,185 lb,
16604,Katie LaGrave,CrossFit 696,,,,North America East,Women,,115 lb,,110 lb,155 lb,,,,,,,,,55 lb,
16614,Patricia Boulerice,,,,,Canada East,Women,,215 lb,,145 lb,255 lb,283,,,,,,,,115 lb,
16629,Ryan Camp,,,,,South East,Men,,390 lb,,,350 lb,,,2:57,,,,,17:10,185 lb,1:00
16641,David Lock,CrossFit LaGrange,,,,South East,Men,,245 lb,,135 lb,265 lb,,,,,11:02,,30,21:24,105 lb,1:18
16647,Deena Mccombs,Palm City CrossFit,,"2023 open
1068th
worldwide",1068th,worldwide,Women,Women (50-54),205 lb,,135 lb,295 lb,,,,,,,20,,125 lb,
16653,Joel Box,CrossFit Ken Caryl,,"2023 open
15924th
worldwide",15924th,worldwide,Men,Men (35-39),275 lb,,205 lb,345 lb,240,,6:40,6:04,,,,19:36,145 lb,
16685,Boris Twersky,,,,,North America,Men (55-59),,275 lb,,185 lb,425 lb,,,7:55,5:25,12:46,,20,21:00,125 lb,1:45
16710,Axel Gustke,CrossFit Jaglion,,"2023 open
13929th
worldwide",13929th,worldwide,Men,Men (40-44),265 lb,,195 lb,365 lb,,,5:55,4:04,9:36,,38,,165 lb,
16719,Lucas Belkhirat,SaïyaGym CrossFit,,,,Europe South,Men,,170 kg,,108 kg,190 kg,,,2:49,3:33,,,49,,90 kg,
16728,Shane Torchiana,CrossFit Coconut Grove,,"2023 open
12188th
worldwide",12188th,worldwide,Men,Men (40-44),385 lb,,255 lb,470 lb,383,19:02,4:03,2:20,8:14,,31,20:08,185 lb,0:59
