Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Marshal Lewis,CrossFit Impressions,,worldwide,Men,35824,worldwide,open,385,295,,225,,,,,,,,,,
Matt McNamara,CrossFit On Track,,worldwide,Men,35835,worldwide,open,445,335,515,265,370,31,,,,222,106,559,,
Radoslav Ovcharov,CrossFit Vitosha,,worldwide,Men,35850,worldwide,open,496.0395,399.03622,518.0857,310.85142,,,,,,193,,,,
Tanner Mattson,Coast Mountain CrossFit,,worldwide,Men,35879,worldwide,open,355,285,455,225,,,,,,253,166,,,
Luke Nicholls,CrossFit Rayleigh,,worldwide,Men,35934,worldwide,open,264.5544,220.462,352.7392,176.3696,,,,,,298,,,1260,
Logan Loftus,CrossFit Lakeland,,worldwide,Men,35944,worldwide,open,345,245,400,190,,,,,,252,193,,,73
Joshua Womack,CrossFit Indianapolis,,worldwide,Men,35951,worldwide,open,290,270,405,206,,,,,,285,182,559,,
Landon Mims,Breach CrossFit,,worldwide,Men,35963,worldwide,open,,275,435,195,,,,,,210,,,1320,
Cole Boge,CrossFit Fox Valley,,worldwide,Men,35978,worldwide,open,275,215,345,190,,,,,,,,,,
Josh Brodzik,CrossFit 859,,worldwide,Men,35987,worldwide,open,365,260,405,190,262,20,,,2087,236,175,594,1466,
Ivan Svec,Falcon 1 CrossFit,,worldwide,Men,35993,worldwide,open,385.8085,286.6006,440.924,205.02966,,,,,,,,,,
João Gilberto de Oliveira Soares,Trinus CrossFit,,worldwide,Men,36022,worldwide,open,265,155,375,145,,21,,,,,340,572,,60
Markus Treger,Cube3 CrossFit,,worldwide,Men,36023,worldwide,open,264.5544,,418.8778,,,12,,,,,,,,80
Sean Garry,CrossFit Grow,,worldwide,Men,36036,worldwide,open,295,245,375,205,358,,,,,247,214,457,1618,
Candace Koren,,,worldwide,Women,36041,worldwide,open,195,135,225,110,,,,,,,,,,
Conor Kidner,CrossFit Quwwa,,worldwide,Men,36044,worldwide,open,451.9471,319.6699,496.0395,264.5544,,,,,1274,130,,,,56
Larry Redford,CrossFit Forte,,worldwide,Men,36055,worldwide,open,310,185,360,120,,4,,,,932,,,,
John Gutierrez,CrossFit Mettle,,worldwide,Men,36070,worldwide,open,320,245,425,185,282,,,,,243,264,664,1284,61
Angelea Letbetter,CrossFit EaDo,,worldwide,Women,36079,worldwide,open,175,135,165,100,,,,,,,,,,
Matt Law,CrossFit Hunter,,worldwide,Men,36108,worldwide,open,396.8316,264.5544,467.37944,224.87124,,32,,,1622,178,177,575,1764,
Kelly Strickler,CrossFit Unwritten,,worldwide,Women,36130,worldwide,open,215,154,225,108,298,,,,,450,244,585,1529,78
Todd Brown,CrossFit Central Houston,,worldwide,Men,36178,worldwide,open,300,245,365,185,,40,,,,,,,,75
Antoine Lenouvel,CrossFit Louvre,,worldwide,Men,36200,worldwide,open,330,238,380,198,,,,,,206,,,,
Austin Townsend,,,worldwide,Men,36207,worldwide,open,345,270,405,185,,50,,,,210,,600,,
Paul Minors,Functional Strength CrossFit,,worldwide,Men,36223,worldwide,open,310.85142,213.84814,357.14844,176.3696,274,,,,1305,355,274,511,,
Catrina Scroggins,CrossFit Argonaut,,worldwide,Women,36225,worldwide,open,175,115,220,90,233,20,,,,490,,,,
Ana Martinovic,CrossFit Nine7,,worldwide,Women,36314,worldwide,open,290,200,315,135,,,,,,,173,,,
Tobias Ammer,Einstein CrossFit,,worldwide,Men,36350,worldwide,open,396.8316,,,,,,,,,,,,1347,
Nicole Beard,CrossFit Factory Square,,worldwide,Women,36385,worldwide,open,245,180,265,135,,,,,,,,,,
Logan Senoski,Camelback CrossFit,,worldwide,Men,36395,worldwide,open,425,,525,260,363,,,,,,,,,
Megan Coddington,CrossFit Candor,,worldwide,Women,36404,worldwide,open,255,155,305,115,,,,,,,174,703,,
John Williams,Carbon Method CrossFit,,worldwide,Men,36410,worldwide,open,352.7392,275.5775,440.924,176.3696,,,,,,216,164,,1188,
Ashley Kasperick,Copper City CrossFit,,worldwide,Women,36437,worldwide,open,235,145,275,105,,,,,,,,,,
Stephanie Moore,CrossFit CBD,,worldwide,Women,36480,worldwide,open,227.07586,178.57422,286.6006,132.2772,,,,,1338,294,168,,,
Karim Mansour,1969 CrossFit,,worldwide,Men,36493,worldwide,open,385,285,,225,,,,,,225,135,,1795,
John Synovec,CrossFit Perimeter,,worldwide,Men,36498,worldwide,open,470,325,500,250,,34,,,,162,116,,,75
Abraham White,,,worldwide,Men,36521,worldwide,open,300,235,375,175,275,30,,,1526,159,161,599,1054,57
Gabriel Velasco,CrossFit Notorious,,worldwide,Men,36543,worldwide,open,320,265,410,210,,,,,,,105,,,
Jarrad Holcombe,CrossFit ProVerb,,worldwide,Men,36556,worldwide,open,455,305,515,255,,,,,,,,,,
Dan Post,8th Day CrossFit,,worldwide,Men,36561,worldwide,open,335,250,,212,,,,,,271,137,690,,
Carlos Hernandez-Guillen,University of Nevada CrossFit,,worldwide,Men,36577,worldwide,open,365,235,445,185,343,30,,,1310,270,126,591,,
Aaron Bickford,CrossFit Never Quit,,worldwide,Men,36582,worldwide,open,429.9009,330.693,518.0857,257.94054,,,,,,,,,,
Mike Murphy,Dragon CrossFit,,worldwide,Men,36591,worldwide,open,352.7392,275.5775,462.9702,220.462,355,31,,,1202,260,143,518,1236,69
Kevin Ritigamawattege,CrossFit Naoned,,worldwide,Men,36615,worldwide,open,268.96364,211.64352,352.7392,169.75574,,32,,,,267,,,1199,
Austin Frey,CrossFit NCS,,worldwide,Men,36635,worldwide,open,375,275,405,235,,25,,,,,,,,
Robert Ramirez,CrossFit Plainfield,,worldwide,Men,36636,worldwide,open,385,265,415,205,,,,,,227,142,569,,
Justin Corder,CrossFit Big Guava,,worldwide,Men,36651,worldwide,open,395,310,505,265,295,55,,,1912,179,154,538,,63
Francis Chargualaf,Unified CrossFit,,worldwide,Men,36661,worldwide,open,420,318,420,235,,,,,,,,,,
Aitor Diaz,CrossFit Lambda,,worldwide,Men,36668,worldwide,open,,,,,,553,,,,,,,,
Chris Vaccaro,CrossFit Frantic,,worldwide,Men,36682,worldwide,open,,,,,,40,,,,209,,635,1800,
Ariane Lussier,Coast Range CrossFit,,worldwide,Women,36691,worldwide,open,,,235,105,,,,,,,245,,,
Alexander Titus,CrossFit PE,,worldwide,Men,36715,worldwide,open,,255,455,,,,,,,210,,,,
Christopher Ordway,CrossFit Stealth,,worldwide,Men,36748,worldwide,open,385,300,465,214,302,39,,,1760,222,161,649,1397,
Tim Urbas,BrewCity CrossFit,,worldwide,Men,36755,worldwide,open,295,225,375,185,,,,,,,,,,
Jorge Chen,Maxability Sports and CrossFit,,worldwide,Men,36788,worldwide,open,355,245,405,185,,,,,,299,214,525,,
Justin Abbarno,CrossFit Big House,,worldwide,Men,36802,worldwide,open,330,245,365,175,,50,,,,251,211,,1170,
Lucas Bonelli,,,worldwide,Men,36824,worldwide,open,297.6237,235.89434,370.37616,171.96036,410,45,2744,,1026,254,211,534,1490,79
Estefania Tremul,CrossFit Goliath,,worldwide,Women,36838,worldwide,open,210,130,240,102,,,,,,370,185,,,
Hisham Abad,Top Fuel CrossFit Valparaiso,,worldwide,Men,36842,worldwide,open,325,205,405,160,273,20,,,,,,,,73
Zachary Willers,CrossFit Belforest,,worldwide,Men,36885,worldwide,open,360,250,410,,,,,,,,,,1687,
Zack Leverenz,CrossFit Williamsburg,,worldwide,Men,36909,worldwide,open,350,270,445,205,276,21,,,2052,,245,651,1478,
Drew Dickey,CrossFit Russellville,,worldwide,Men,36925,worldwide,open,335,225,365,185,,30,,,,,,,,
Zachary Reuther,CrossFit Pleasanton,,worldwide,Men,36964,worldwide,open,,,,,342,18,,,1140,,,,,
Benjamin Brandenburg,Explicit CrossFit,,worldwide,Men,36968,worldwide,open,,265,465,,,,,,,,,,,
Connor Brown,CrossFit Sunalta,,worldwide,Men,36993,worldwide,open,385,245,425,165,,,,,,295,,616,,
Guillaume Joliot,CrossFit Besancon 958,,worldwide,Men,36995,worldwide,open,275.5775,220.462,330.693,187.3927,,20,,,,,,,,
Andrew Ripa,CrossFit 908,,worldwide,Men,37012,worldwide,open,405,275,510,215,,50,,,,178,130,,,76
Shawn Mauritz,KJ CrossFit,,worldwide,Men,37015,worldwide,open,325,260,400,215,302,45,,,,212,225,,,
Michal Slavík,CrossFit Zlin,,worldwide,Men,37017,worldwide,open,374.7854,264.5544,429.9009,209.4389,,,,,,,,,,
Kyle Taft,Warlock CrossFit,,worldwide,Men,37043,worldwide,open,535,325,635,265,,,,,,,,,,
Panu Smuthkochorn,CrossFit Ten500,,worldwide,Men,37065,worldwide,open,330,275,415,185,,,,,,,,,,
Sandeep Gadde,CrossFit Mend,,worldwide,Men,37082,worldwide,open,341.7161,246.91744,462.9702,187.3927,,20,,,1652,294,218,668,,69
Evan Lonergan,Chicago Ave CrossFit,,worldwide,Men,37084,worldwide,open,375,265,445,205,341,40,,,,182,,348,1184,52
Adrian Ngo,Bold City CrossFit,,worldwide,Men,37086,worldwide,open,375,285,405,220,,,,,,,176,,,
Djamane Jahoued,CrossFit Drakôn,,worldwide,Men,37087,worldwide,open,363.7623,264.5544,496.0395,198.4158,,31,,,,147,127,,2400,
Andreo Oliveira,CrossFit Volume,,worldwide,Men,37094,worldwide,open,120,198.4158,140,70,,,,,,,,,,
Louisa Gonzales,CrossFit Trajectory,,worldwide,Women,37101,worldwide,open,155,95,210,80,,,,,,493,,,,97
John Lalo,CrossFit Unbreakable,,worldwide,Men,37118,worldwide,open,435,325,475,230,,17,,,,,163,,1433,
Andrew Le,CrossFit Adept,,worldwide,Men,37142,worldwide,open,380,245,425,185,,51,,,,186,182,503,1116,52
Vanessa Schmidt,CrossFit Lions,,worldwide,Women,37154,worldwide,open,205,135,315,85,,,,,,,,,,
Bryce Geen,CrossFit Midlothian,,worldwide,Men,37157,worldwide,open,385,276,418,220,,31,,,,167,138,,,
Christopher Pham,CrossFit Brit,,worldwide,Men,37173,worldwide,open,365,295,435,220,279,31,,,1570,216,120,548,,
Connor Gruel,Iron Bridge CrossFit,,worldwide,Men,37179,worldwide,open,325,,,,,,,,,,,,,
Jonathan Hull,CrossFit Triton,,worldwide,Men,37204,worldwide,open,405,,,242,,,,,,,,,,
Kristin Calandra,CrossFit KE,,worldwide,Women,37240,worldwide,open,185,135,145,105,,,,,,,,,,
Matthew Fields,Narrows CrossFit,,worldwide,Men,37264,worldwide,open,315,265,435,185,322,,,,,,192,,1628,
Armand Hunt,CrossFit No'Ala,,worldwide,Men,37278,worldwide,open,375,265,476,205,351,30,,,,,118,541,1337,61
Steven Halcomb,Derby City CrossFit,,worldwide,Men,37292,worldwide,open,345,275,455,225,,43,,,,158,112,,1317,
André Hidalgo,Nero CrossFit,,worldwide,Men,37375,worldwide,open,440.924,308.6468,507.0626,253.5313,,16,,,,288,,,,100
Mia Gianelli,TTT CrossFit,,worldwide,Women,37390,worldwide,open,315,220,355,175,,,,,,,,,,
Tarryn Harvey,CrossFit Flourish,,worldwide,Women,37427,worldwide,open,198.4158,110.231,235.89434,,,,,,,317,,682,,
Caroline Wittenberg,CrossFit Vicerant,,worldwide,Women,37427,worldwide,open,225,170,241,120,,,,,,,,,,
Michael O'Connor,CrossFit Kemah,,worldwide,Men,37428,worldwide,open,375,295,505,215,,56,,,,325,,,,
Igor da Silva,1UP CrossFit,,worldwide,Men,37451,worldwide,open,242.5082,224.87124,319.6699,156.52802,,21,,,,299,219,,,
Lucianna Figueiredo,,,worldwide,Women,37453,worldwide,open,210,150,245,125,,,,,,,,,1440,240
Jasmine Sherrill,CrossFit Waxahachie,,worldwide,Women,37474,worldwide,open,155,115,215,105,,,,,,504,,,,
Tomas Holt,Perry Hall CrossFit,,worldwide,Men,37476,worldwide,open,365,295,455,230,,,,,,202,142,,,
Nora van Veen,CrossFit MFP,,worldwide,Women,37496,worldwide,open,215,155,225,,,,,,,,,,,
Richard Rice,CrossFit Minneapolis,,worldwide,Men,37500,worldwide,open,290,220,335,180,,,,,,,,,,
Alexandre Martins,Summum CrossFit,,worldwide,Men,37546,worldwide,open,308.6468,220.462,418.8778,176.3696,,,,,,197,,653,,
Simen Aaslund,CrossFit Oslo,,worldwide,Men,37589,worldwide,open,339.51148,275.5775,440.924,231.4851,,60,,,,228,,,1008,59
Ayla Luers Connor,CrossFit Reaction,,worldwide,Women,37592,worldwide,open,250,155,305,,,,,,,,174,,,
Teresa Guzik,CrossFit Clintonville,,worldwide,Women,37625,worldwide,open,245,165,335,135,,,,,,,,,,
Reinier De Bruin,,,worldwide,Men,37635,worldwide,open,308.6468,253.5313,440.924,209.4389,,33,,,,,149,,1410,
Gonçalo Viana,CrossFit Foz,,worldwide,Men,37663,worldwide,open,385.8085,275.5775,440.924,213.84814,,,,,,,,,,
Erin Hopper,SnoRidge CrossFit,,worldwide,Women,37671,worldwide,open,190,145,235,120,,7,,,,,,,,
Jordyn Burnidge,KCI CrossFit,,worldwide,Women,37683,worldwide,open,265,200,315,165,,26,,,1583,179,120,599,,
Gabe Lorico,CrossFit Coronado,,worldwide,Men,37692,worldwide,open,345,265,435,175,,,,,,175,,654,1266,54
Abi James,,,worldwide,Women,37705,worldwide,open,187.3927,154.3234,253.5313,116.84486,308,20,,,1860,423,216,754,1668,76
Piers Moore,CrossFit 424,,worldwide,Men,37709,worldwide,open,293.21446,253.5313,407.8547,211.64352,,,,,,261,,557,,
Shelby Brown,Defiant CrossFit,,worldwide,Women,37735,worldwide,open,245,155,300,100,,,,,,,294,,1980,
Maddi Wilson,Presidential Range CrossFit,,worldwide,Women,37737,worldwide,open,200,155,210,125,,,,,,,,,,
Thomas Woods,CrossFit Löwe,,worldwide,Men,37813,worldwide,open,385,300,490,220,,49,,,,166,191,598,,60
Nicholas Leighton,Pack Life CrossFit Sandton,,worldwide,Men,37818,worldwide,open,275.5775,220.462,418.8778,165.3465,,35,,,,381,,,1410,60
Will Weirough,Wild Horizons CrossFit,,worldwide,Men,37826,worldwide,open,255,235,415,155,,13,,,1162,237,172,,1170,54
Brandon Arnold,CrossFit Merit,,worldwide,Men,37832,worldwide,open,265,235,385,175,,,,,,,,,,
Noah Forrest,Butchertown CrossFit,,worldwide,Men,37846,worldwide,open,275,205,335,175,,,,,,,,,,
chad selman,CrossFit Russellville,,worldwide,Men,37856,worldwide,open,385,295,425,240,,56,,,,151,,,,
Ashley King,Block CrossFit,,worldwide,Women,37860,worldwide,open,140,,195,,,,,,,,,,,
Aaron Buchholz,CrossFit 4701,,worldwide,Men,37864,worldwide,open,365.96692,275.5775,418.8778,205.02966,,33,,,,243,154,594,,69
Brandon Vasquez,CrossFit 325,,worldwide,Men,37888,worldwide,open,335,,415,,,,,,,,,,,
Zak Humphries,CrossFit Valor,,worldwide,Men,37904,worldwide,open,340,255,425,195,,25,,,,240,120,,,
Louie Chuaquico,,,worldwide,Men,37914,worldwide,open,242,165,374,133,,,,,,395,,,1339,134
Matt Neid,CrossFit Nac,,worldwide,Men,37920,worldwide,open,344,254,385,215,330,60,,,,150,210,482,1080,65
Antoin Fox,CrossFit Omagh,,worldwide,Men,37927,worldwide,open,286.6006,,,127.86796,,,,,,,,,,
Jeremiah White,CrossFit 859,,worldwide,Men,37933,worldwide,open,255,226,315,200,,,,,,366,,718,,
Susanna Saariluoma,,,worldwide,Women,37934,worldwide,open,165.3465,132.2772,198.4158,83.77556,,5,,,,,,,,
Justin DeVane,Artisan CrossFit,,worldwide,Men,37988,worldwide,open,415,315,505,245,,45,,,,150,122,,,115
Andraz Tus,CrossFit Graz,,worldwide,Men,38000,worldwide,open,359.35306,264.5544,445.33324,202.82504,,29,,,,270,169,565,,
Andrew Lewis,CrossFit Equity,,worldwide,Men,38022,worldwide,open,225,175,295,145,,,,,,,,,,
Kristina Artigas,CrossFit LYFE,,worldwide,Women,38022,worldwide,open,215,163,242,115,,,,,,531,,,,
Laurel Yae,RCF CrossFit,,worldwide,Women,38031,worldwide,open,190,125,160,80,,,,,,,,,,
Kellie Lundy,HXH CrossFit,,worldwide,Women,38050,worldwide,open,205,145,240,105,218,,,,,342,,614,,76
Sondre Hansen,Reebok CrossFit Bryggen,,worldwide,Men,38069,worldwide,open,374.7854,264.5544,440.924,220.462,,,,,1677,321,,,,
Chris Minsky,CrossFit Slake,,worldwide,Men,38120,worldwide,open,260,,365,,,,4273,,,,,,,
Danilo Pardo,CrossFit Maidenhead,,worldwide,Men,38122,worldwide,open,330.693,279.98674,396.8316,205.02966,321,,3634,,,296,144,577,2107,84
Lauren Gunter,CrossFit Cherry Creek,,worldwide,Women,38132,worldwide,open,320,195,340,140,,,,,,327,155,1075,,89
Sawyer Harmon,CrossFit Tough,,worldwide,Men,38146,worldwide,open,405,275,475,210,,,,,,,,,,
Mason Myers,CrossFit Scioto,,worldwide,Men,38156,worldwide,open,420,,,,,,,,,,,,1308,
Nicholas Wolf,Picton CrossFit,,worldwide,Men,38157,worldwide,open,319.6699,231.4851,374.7854,165.3465,,,,,,,,,,
Lucie Gaspari,CrossFit 9 7 5,,worldwide,Women,38163,worldwide,open,209.4389,143.3003,242.5082,121.2541,197,,,,,,264,,,
Stephen Lucas,CrossFit Winnersville,,worldwide,Men,38167,worldwide,open,365,225,415,165,,,,,,,,,,
Carlos Garcia,No Ceilings CrossFit,,worldwide,Men,38216,worldwide,open,405,315,405,225,,,,,,,,638,,
Rebecca Anguish,CrossFit Valor,,worldwide,Women,38235,worldwide,open,245,180,310,115,,17,,,,400,236,644,,
Simon Olsson,CrossFit Mejeriet,,worldwide,Men,38236,worldwide,open,379.19464,282.19136,440.924,216.05276,,,,,,401,226,,1403,69
Mark Smyth,Avenge CrossFit,,worldwide,Men,38249,worldwide,open,396.8316,253.5313,440.924,200.62042,344,35,3300,,1303,,151,,,
Patrick Mullen,Mountain Trail CrossFit,,worldwide,Men,38251,worldwide,open,345,245,395,165,,16,,,1701,292,150,655,1532,
Quinn Putt,CrossFit DT1,,worldwide,Men,38264,worldwide,open,380,275,475,205,,,,,,,114,,,
Zac Darling,CrossFit COL,,worldwide,Men,38292,worldwide,open,,,,1,,35,,,,,,,,
Samuel Langrock,CrossFit Southie,,worldwide,Men,38307,worldwide,open,305,215,385,165,272,23,,,1531,281,287,576,1378,
Austin Brown,CrossFit Augusta,,worldwide,Men,38318,worldwide,open,385,260,410,210,,,,,,266,195,,,
Kyle Massey,Seven Springs CrossFit,,worldwide,Men,38319,worldwide,open,475,325,575,265,,74,,,,161,111,,,56
Lawrence Hobson,Ballistix CrossFit Somerset West,,worldwide,Men,38325,worldwide,open,308.6468,242.5082,385.8085,165.3465,,50,,,,,,525,,
Keli Korsmo,,,worldwide,Women,38348,worldwide,open,250,165,302,105,,28,,,1692,368,277,629,1383,
Brian Mullaghy,Bulldog CrossFit,,worldwide,Men,38349,worldwide,open,345,270,415,195,,,,,,260,165,573,1335,
Luke Carlile,,,worldwide,Men,38366,worldwide,open,450,335,540,245,,,,,,163,120,,,
Sara Consolo,Branford CrossFit,,worldwide,Women,38374,worldwide,open,,100,185,55,240,,,,,,,,1458,
Ashley Mercado,,,worldwide,Women,38406,worldwide,open,250,165,285,135,,,,,,404,171,639,,
Collan Baker,CrossFit Overthrow,,worldwide,Men,38410,worldwide,open,310,235,425,190,302,12,,,,331,183,634,,
Raelynn Jackson,CrossFit BRIO,,worldwide,Women,38417,worldwide,open,235,160,260,120,,,,,,,,,,
Ulises Trevino,CrossFit Condesa,,worldwide,Men,38450,worldwide,open,385,285,437,207,,30,,,,292,195,,1496,
Samantha Liu,CrossFit RepScheme,,worldwide,Women,38464,worldwide,open,230,155,315,120,,9,,,,411,144,826,1649,91
Wendy Both,,,worldwide,Women,38468,worldwide,open,202.82504,132.2772,220.462,99.2079,,8,,,,533,,,,
Olivia Nixon,CrossFit South Cherry,,worldwide,Women,38512,worldwide,open,,165,,120,233,,,,,,327,697,2069,
Dan Moss,CrossFit Huntsville,,worldwide,Men,38606,worldwide,open,435,305,425,245,,,,,1624,344,137,,,
Nicole Brewer,Naugatuck Valley CrossFit,,worldwide,Women,38613,worldwide,open,250,155,315,100,,,,,,,409,,,
Marco de Beer,CrossFit Algoa,,worldwide,Men,38618,worldwide,open,330.693,253.5313,418.8778,198.4158,,,,,1125,,195,,1440,
Nicole Perhala,,,worldwide,Women,38637,worldwide,open,165,135,195,85,,,,,,,,,,
Anthony Smith,CrossFit Barbell Battalion,,worldwide,Men,38645,worldwide,open,405,315,510,235,,,,,,,177,,,
Keegan Drummond,CrossFit Quispamsis,,worldwide,Men,38648,worldwide,open,375,295,445,245,,43,,,,,,,,
Fernando Leal,,,worldwide,Men,38665,worldwide,open,345,245,455,185,,,,,,,,,,
Andrew Palm,CrossFit Holdfast,,worldwide,Men,38668,worldwide,open,305,250,350,205,392,10,,,,274,165,541,1320,
Aymeric Salambo,CrossFit Saint Denis,,worldwide,Men,38677,worldwide,open,286.6006,242.5082,429.9009,187.3927,,,,,,,,,,
Lauren French,CrossFit Tamarin,,worldwide,Women,38687,worldwide,open,202.82504,154.3234,224.87124,121.2541,,,,,,,,,,
Tony Moore,Grounded CrossFit,,worldwide,Men,38709,worldwide,open,340,290,500,205,,,,,,,,,,
Jesse Johnson,CrossFit CenterMass,,worldwide,Men,38722,worldwide,open,,,405,,,,,,,,,,1236,
Waldo Acosta,CrossFit CLE,,worldwide,Men,38745,worldwide,open,297,231,365,202,,24,,,1550,407,298,,1582,54
Drew Wylie,CrossFit Narellan,,worldwide,Men,38774,worldwide,open,363.7623,286.6006,418.8778,198.4158,,,,,,262,170,,,
George Stahle,CrossFit Love Field,,worldwide,Men,38780,worldwide,open,255,225,325,160,335,30,,,1164,251,179,475,1100,55
Edward Garcia,CrossFit Praus,,worldwide,Men,38827,worldwide,open,420,290,540,235,,,,,,145,126,585,,
Rodrigo Scheffer,CrossFit 1530,,worldwide,Men,38829,worldwide,open,,220.462,418.8778,176.3696,,,,,1402,298,212,617,1200,
Jayne Smith,CrossFit 1124,,worldwide,Women,38837,worldwide,open,245,195,320,150,,,,,,381,,,,
Stanislav Tsoy,South Beach CrossFit SI,,worldwide,Men,38837,worldwide,open,315,245,345,170,,,,,,,,,,
Eric Davis,Flatland CrossFit,,worldwide,Men,38868,worldwide,open,,,,,,,,,,178,,,,
YoHan Kang,CrossFit Alright,,worldwide,Men,38884,worldwide,open,,,,,,50,,,,154,,,,
Iris Skuladottir,CrossFit Reykjavík,,worldwide,Women,38895,worldwide,open,158.73264,,224.87124,83.77556,,27,,,,,,489,1063,60
Monica Eaton,CrossFit Push the Limits,,worldwide,Women,38907,worldwide,open,225,170,265,145,,,,,,258,,584,,
Glenn Minaya,CrossFit Elmwood Park,,worldwide,Men,38917,worldwide,open,455,300,550,240,376,,,,,170,103,535,,
Noah Sager,Nuclear CrossFit,,worldwide,Men,38938,worldwide,open,335,285,465,235,,,,,,134,,441,,60
Dan Jefferson,CrossFit Airdrie,,worldwide,Men,38938,worldwide,open,,253.5313,418.8778,176.3696,,,,,,,,,,
Matt Farrand,CrossFit RBR,,worldwide,Men,38964,worldwide,open,396.8316,297.6237,462.9702,231.4851,,18,,,,434,132,760,1391,
Taylar Benson,Twisted Canyon CrossFit,,worldwide,Women,39012,worldwide,open,225,140,275,95,,,,,,,,,1796,
Megan Mitchell,Kendall Square CrossFit,,worldwide,Women,39022,worldwide,open,160,120,215,90,,,,,,,,,,
Jake Holladay,,,worldwide,Men,39051,worldwide,open,405,275,515,220,329,,,,,,167,589,,
Amber Dixon,CrossFit Boro,,worldwide,Women,39053,worldwide,open,,,253,,,,,,,,,,,
Björn Torfi Björnsson,CrossFit Sudurnes,,worldwide,Men,39055,worldwide,open,341.7161,286.6006,440.924,220.462,376,,,,1890,178,129,520,,78
Hannah Cadicamo,CrossFit Flathead,,worldwide,Women,39056,worldwide,open,265,135,315,,,3,,,,198,360,,1426,
Jonathan Pabon,CrossFit Dutch Kills,,worldwide,Men,39114,worldwide,open,435,325,505,230,316,30,,,1490,207,177,609,1655,90
Courtney Loiaconi,CrossFit Torian,,worldwide,Women,39124,worldwide,open,143.3003,138.89106,205.02966,99.2079,198,20,,,,441,207,625,1616,
Jacob Wellock,Double Edge CrossFit South,,worldwide,Men,39132,worldwide,open,500,370,555,290,,50,,,,158,83,,,
Daniel Alan Paul,CrossFit One Valley,,worldwide,Men,39151,worldwide,open,330,235,410,185,,,,,,,,,,
Joseph Baker,CrossFit Breakthrough,,worldwide,Men,39166,worldwide,open,385,305,495,245,,28,,,,210,,,1174,70
Arnaldo Maltez,Big Barn CrossFit,,worldwide,Men,39198,worldwide,open,360,255,415,205,,,,,,228,116,,1710,
Yann Le tutour,CrossFit Madeleine,,worldwide,Men,39219,worldwide,open,264.5544,165.3465,319.6699,121.2541,,,,,,,,,,
Luis Fernando Ramirez,,,worldwide,Men,39222,worldwide,open,280,225,375,170,233,40,,,,,,,,
Beth Starkey,Stay Strong CrossFit,,worldwide,Women,39247,worldwide,open,235,140,305,110,180,10,,,,671,291,1062,,70
Ana Perez,CrossFit Diehard,,worldwide,Women,39269,worldwide,open,200,,255,,,,,,,,,,,
Stetson Carlile,CrossFit Krypton,,worldwide,Men,39306,worldwide,open,355,275,475,225,,,,,,,118,478,1233,
Kevin Anderson,CrossFit Riverside,,worldwide,Men,39315,worldwide,open,305,265,,185,,,,,,,195,,,
Tyler Metauro,Monarch Training CrossFit,,worldwide,Men,39316,worldwide,open,640,375,585,275,,,,,,165,67,,,
Thomas Mitchell,Coffs Coast CrossFit,,worldwide,Men,39337,worldwide,open,374.7854,286.6006,462.9702,224.87124,307,40,,,1485,169,116,478,1070,64
Marius van Rooyen,,,worldwide,Men,39344,worldwide,open,352.7392,231.4851,462.9702,,,30,,,,234,,,,
Sarah Weiss,CrossFit Phoenixville,,worldwide,Women,39444,worldwide,open,210,160,300,125,303,15,,,,349,215,677,2174,
David Sobey,CrossFit Saol,,worldwide,Men,39451,worldwide,open,465,285,495,225,,,,,,,,,,
Bradley Pearson,CrossFit Great Stour,,worldwide,Men,39467,worldwide,open,429.9009,288.80522,462.9702,220.462,,,,,,,,,,
Virginia Thornton,Old Hickory CrossFit,,worldwide,Women,39488,worldwide,open,215,145,305,95,,,,,,,,,,
Guilherme Pianta,Graw CrossFit,,worldwide,Men,39500,worldwide,open,396.8316,321.87452,462.9702,265,305,35,4020,,,277,156,,1525,80
Harrison Kent,Tusk CrossFit,,worldwide,Men,39503,worldwide,open,450,335,550,225,,,,,,279,113,,,
Stasy Dinh,CrossFit CBC,,worldwide,Women,39516,worldwide,open,160,90,180,69,198,,,,1818,326,,1920,,
Stasy Dinh,CrossFit CBC,,worldwide,Women,39516,worldwide,open,160,90,180,69,198,,,,1818,326,,1920,,
Justin Brunning,CrossFit LumberYard,,worldwide,Men,39517,worldwide,open,405,335,500,210,347,37,,,1271,251,134,566,,69
Shane Turner,CrossFit Burleigh,,worldwide,Men,39526,worldwide,open,374.7854,277.78212,462.9702,205.02966,359,21,,,,227,148,655,1386,66
Jamie Kallilnosis,CrossFit KOA,,worldwide,Men,39530,worldwide,open,345,285,410,200,,,,,1469,197,,,,
Sujin Choi,CrossFit Vulcan,,worldwide,Women,39532,worldwide,open,175,136.68644,285,105,,,,,,,,,,
William Davies,CrossFit Torian,,worldwide,Men,39554,worldwide,open,286.6006,198.4158,396.8316,132.2772,234,,,,,,316,832,1289,
Jessica Custodio,CrossFit Catanduva,,worldwide,Women,39589,worldwide,open,176.3696,110.231,209.4389,,,,,,,,,,,
