Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Camille Dusart,CrossFit Castelnau le Lez,,Europe,Men,401,Europe,quarterfinals,363.7623,275.5775,440.924,242.5082,340,50,,,1148,173,119,524,1159,
Alex McRobie,CrossFit East Tamaki,,Oceania,Men,402,Oceania,quarterfinals,396.8316,319.6699,529.1088,253.5313,394,44,,,,182,108,450,1140,52
Tarraneh Dadgar,CrossFit Dilworth,,North America East,Women,403,North America East,quarterfinals,275,225,325,180,,,,,,,,,,
Rafael Solano,CrossFit Yas,,South America,Men,403,South America,quarterfinals,374.7854,277.78212,496.0395,227.07586,,,,,,,,,,
Daniel Blackwell,CrossFit Simplicity,,North America East,Men,403,North America East,quarterfinals,385,315,475,240,,,,,,170,,466,1219,
Sarah Findle,CrossFit OwnIt,,North America East,Women,404,North America East,quarterfinals,280,210,320,172,,,,,,,119,,,
Chloe Dobbert,CrossFit Fortem,,North America West,Women,404,North America West,quarterfinals,225,185,365,155,384,27,,,,235,86,515,1308,64
Jason Devlin,CrossFit Katy,,North America West,Men,404,North America West,quarterfinals,,330,,265,,,,,,,,,1370,
Timothy Wyvill,CrossFit Release,,Oceania,Men,405,Oceania,quarterfinals,363.7623,275.5775,447.53786,209.4389,,,,,,,,,,
Sarah Schulze,CrossFit Wash Park,,North America West,Women,405,North America West,quarterfinals,245,200,305,145,,,,,,,,,,
Daniel Arvanitis,CrossFit Adelaide,,Oceania,Men,406,Oceania,quarterfinals,390.21774,291.00984,434.31014,220.462,,14,,,,,,,1486,76
Elliot Turner,I Am The Project CrossFit,,Europe,Men,406,Europe,quarterfinals,403.44546,315.26066,518.0857,264.5544,417,,,,,143,89,468,1147,
Kathryn Chartrand,Grand Trunk CrossFit,,North America East,Women,406,North America East,quarterfinals,315,235,300,165,333,21,,,,141,128,546,,
Rachel McCormick,CrossFit Steamboat,,North America West,Women,406,North America West,quarterfinals,,,,,,,,,,232,,,,
Christopher Szymanski,CrossFit DC,,North America East,Men,407,North America East,quarterfinals,460,345,500,290,455,,,,1182,,86,,,60
Hunter Gibbons,CrossFit Resurrection,,North America East,Men,408,North America East,quarterfinals,350,200,395,135,,,,,,,,,,
Emily Jacobs,CrossFit Cartel,,Oceania,Women,410,Oceania,quarterfinals,220.462,167.55112,220.462,134.48182,,,,,,,,,,
Maria Eriksen,CrossFit Wichita Falls,,North America West,Women,410,North America West,quarterfinals,285,215,340,175,,,,,,185,107,,,
Jean-Mikael Desmarais,CrossFit Chicoutimi,,North America East,Men,410,North America East,quarterfinals,365,275,445,215,384,70,,,1082,137,,498,1260,62
Bibiána Večeřová,Good Vibes CrossFit,,Europe,Women,410,Europe,quarterfinals,275.5775,231.4851,352.7392,180.77884,,52,,,,,,,,
Erin Koonz,Railroad CrossFit,,North America East,Women,411,North America East,quarterfinals,250,200,320,150,,,,,,217,129,511,,
Nicholas Plueger,CrossFit Okoboji,,North America West,Men,412,North America West,quarterfinals,415,305,500,235,421,50,,,,150,138,450,,
Marie-Pier Bonneau,L'Usine CrossFit Sherbrooke,,worldwide,Women,412,worldwide,open,265,220,315,175,,,,,,,,,1377,
Ernesto Adolfo Cristo Gómez,,,North America West,Men,413,North America West,quarterfinals,385,295,495,215,,72,,,,133,,,1283,92
Jonathan Opsahl,CrossFit Malibu,,North America West,Men,413,North America West,quarterfinals,355,300,455,235,,50,,,,206,,,,
Madeleine Minetree,SUBU CrossFit,,North America East,Women,414,North America East,quarterfinals,325,235,335,175,,,,,,168,105,,,80
Vincent Bolduc,L'Usine CrossFit 640,,North America East,Men,414,North America East,quarterfinals,420,310,485,245,,50,,,,185,,,,
Eleanor Geldard,CrossFit Newcastle upon Tyne,,Europe,Women,414,Europe,quarterfinals,275.5775,209.4389,319.6699,165.3465,,32,,,,132,96,,1326,
Quentin Belmonte,CrossFit Beziers,,Europe,Men,415,Europe,quarterfinals,374.7854,308.6468,462.9702,253.5313,370,70,,,,133,128,,1500,
Patrick Borchardt,CrossFit WYSH,,Europe,Men,416,Europe,quarterfinals,,,,,,45,,,,181,,,1254,
Mason Klein,Revelry CrossFit,,North America West,Men,416,North America West,quarterfinals,395,315,450,247,411,53,,,1048,147,115,456,,58
Sam Goovaerts,Champlain Valley CrossFit,,North America East,Men,419,North America East,quarterfinals,425,350,450,275,,,,,,143,118,,1085,
Grace Gentle,CrossFit Wauchope,,Oceania,Women,419,Oceania,quarterfinals,286.6006,191.80194,352.7392,143.3003,,,,,,,153,,,
Ashley Dickinson,JAD CrossFit,,North America East,Women,419,North America East,quarterfinals,265,210,305,165,,50,,,,,,,,
Donwoo Lee,CrossFit 032,,Asia,Men,419,Asia,quarterfinals,396,275,396,215,,,,,,231,600,,,
